195;679
777;140
628;696
769;513
95;224
971;59
893;100
615;724
557;246
988;840
696;627
157;577
279;245
653;608
975;877
178;736
335;21
450;701
334;337
356;664
367;905
11;503
199;920
917;578
752;954
764;275
337;859
101;567
523;200
861;383
44;162
538;218
46;236
724;873
649;914
390;221
889;325
474;790
617;653
378;359
327;76
855;22
113;902
400;475
919;882
179;134
475;972
621;205
368;793
457;963
196;45
928;838
564;544
385;12
386;310
950;869
821;503
57;968
306;516
105;144
835;249
953;766
735;257
745;917
704;269
422;824
196;415
163;283
147;17
458;568
517;388
90;610
932;309
313;972
916;652
898;851
688;314
128;947
92;163
103;308
798;468
308;118
887;127
674;407
341;773
821;289
59;537
626;448
160;344
834;427
944;773
1;52
370;570
136;881
287;215
191;983
914;151
770;49
80;971
722;805
